tipo_tarifa,origen,destino,tarifa
estudiante_sin_subsidio,Perquenco,Temuco,1500.0
estudiante_sin_subsidio,Perquenco,PLC,1800.0
estudiante_sin_subsidio,Perquenco,Quepe,1900.0
estudiante_sin_subsidio,Perquenco,Freire,2500.0
estudiante_sin_subsidio,Perquenco,Pitrufquén,2600.0
estudiante_sin_subsidio,Quillem,Victoria,1400.0
estudiante_sin_subsidio,Quillem,PUA,1300.0
estudiante_sin_subsidio,Quillem,Perquenco,1200.0
estudiante_sin_subsidio,Quillem,Quillem,0.0
estudiante_sin_subsidio,Quillem,Lautaro,1200.0
estudiante_sin_subsidio,Quillem,L. Centro,1200.0
estudiante_sin_subsidio,Quillem,Pillanlelbun,1400.0
estudiante_sin_subsidio,Quillem,Coleg. Claret,0.0
