tipo_pasajero,origen,destino,tipo_pasajero_visual,tipo_tarifa_venta,factor_venta,paga_tarifa,aplica_subsidio_normal,aplica_subsidio_estudiante,tarifa_venta_base,tarifa_estudiante_sin_subsidio,falta_tarifa_venta,falta_tarifa_estudiante_sin_subsidio
estudiante,Cajon,Lautaro,Estudiante,estudiante,1.0,1,0,1,200.0,650.0,False,False
estudiante,Cajon,PUA,Estudiante,estudiante,1.0,1,0,1,250.0,900.0,False,False
estudiante,Cajon,Perquenco,Estudiante,estudiante,1.0,1,0,1,250.0,900.0,False,False
estudiante,Cajon,Pillanlelbun,Estudiante,estudiante,1.0,1,0,1,200.0,650.0,False,False
estudiante,Cajon,Temuco,Estudiante,estudiante,1.0,1,0,1,200.0,650.0,False,False
estudiante,Cajon,Victoria,Estudiante,estudiante,1.0,1,0,1,300.0,950.0,False,False
estudiante,Freire,PLC,Estudiante,estudiante,1.0,1,0,1,450.0,1400.0,False,False
estudiante,Freire,Pitrufquén,Estudiante,estudiante,1.0,1,0,1,200.0,650.0,False,False
estudiante,Freire,Quepe,Estudiante,estudiante,1.0,1,0,1,200.0,600.0,False,False
estudiante,Freire,Temuco,Estudiante,estudiante,1.0,1,0,1,450.0,1450.0,False,False
estudiante,L. Centro,Cajon,Estudiante,estudiante,1.0,1,0,1,200.0,650.0,False,False
estudiante,L. Centro,Perquenco,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,L. Centro,Pillanlelbun,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,L. Centro,Quillem,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,L. Centro,Temuco,Estudiante,estudiante,1.0,1,0,1,450.0,1350.0,False,False
estudiante,L. Centro,Victoria,Estudiante,estudiante,1.0,1,0,1,450.0,1500.0,False,False
estudiante,Lautaro,Cajon,Estudiante,estudiante,1.0,1,0,1,200.0,650.0,False,False
estudiante,Lautaro,PUA,Estudiante,estudiante,1.0,1,0,1,450.0,1400.0,False,False
estudiante,Lautaro,Perquenco,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,Lautaro,Pillanlelbun,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,Lautaro,Quillem,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,Lautaro,Temuco,Estudiante,estudiante,1.0,1,0,1,450.0,1350.0,False,False
estudiante,Lautaro,Victoria,Estudiante,estudiante,1.0,1,0,1,450.0,1500.0,False,False
estudiante,PLC,Freire,Estudiante,estudiante,1.0,1,0,1,450.0,1400.0,False,False
estudiante,PLC,Pitrufquén,Estudiante,estudiante,1.0,1,0,1,450.0,1550.0,False,False
estudiante,PLC,Quepe,Estudiante,estudiante,1.0,1,0,1,200.0,650.0,False,False
estudiante,PLC,Temuco,Estudiante,estudiante,1.0,1,0,1,250.0,750.0,False,False
estudiante,PUA,Cajon,Estudiante,estudiante,1.0,1,0,1,250.0,900.0,False,False
estudiante,PUA,L. Centro,Estudiante,estudiante,1.0,1,0,1,450.0,1400.0,False,False
estudiante,PUA,Lautaro,Estudiante,estudiante,1.0,1,0,1,450.0,1400.0,False,False
estudiante,PUA,Perquenco,Estudiante,estudiante,1.0,1,0,1,400.0,1300.0,False,False
estudiante,PUA,Pillanlelbun,Estudiante,estudiante,1.0,1,0,1,450.0,1500.0,False,False
estudiante,PUA,Temuco,Estudiante,estudiante,1.0,1,0,1,500.0,1600.0,False,False
estudiante,PUA,Victoria,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,Perquenco,Cajon,Estudiante,estudiante,1.0,1,0,1,250.0,900.0,False,False
estudiante,Perquenco,L. Centro,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,Perquenco,Lautaro,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,Perquenco,PUA,Estudiante,estudiante,1.0,1,0,1,400.0,1300.0,False,False
estudiante,Perquenco,Pillanlelbun,Estudiante,estudiante,1.0,1,0,1,450.0,1400.0,False,False
estudiante,Perquenco,Quillem,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,Perquenco,Temuco,Estudiante,estudiante,1.0,1,0,1,450.0,1500.0,False,False
estudiante,Perquenco,Victoria,Estudiante,estudiante,1.0,1,0,1,450.0,1400.0,False,False
estudiante,Pillanlelbun,Cajon,Estudiante,estudiante,1.0,1,0,1,200.0,650.0,False,False
estudiante,Pillanlelbun,L. Centro,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,Pillanlelbun,Lautaro,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,Pillanlelbun,PUA,Estudiante,estudiante,1.0,1,0,1,450.0,1500.0,False,False
estudiante,Pillanlelbun,Perquenco,Estudiante,estudiante,1.0,1,0,1,450.0,1400.0,False,False
estudiante,Pillanlelbun,Temuco,Estudiante,estudiante,1.0,1,0,1,400.0,1300.0,False,False
estudiante,Pillanlelbun,Victoria,Estudiante,estudiante,1.0,1,0,1,500.0,1600.0,False,False
estudiante,Pitrufquén,Freire,Estudiante,estudiante,1.0,1,0,1,200.0,650.0,False,False
estudiante,Pitrufquén,PLC,Estudiante,estudiante,1.0,1,0,1,450.0,1550.0,False,False
estudiante,Pitrufquén,Pillanlelbun,Estudiante,estudiante,1.0,1,0,1,750.0,2400.0,False,False
estudiante,Pitrufquén,Quepe,Estudiante,estudiante,1.0,1,0,1,200.0,700.0,False,False
estudiante,Pitrufquén,Temuco,Estudiante,estudiante,1.0,1,0,1,500.0,1550.0,False,False
estudiante,Quepe,Freire,Estudiante,estudiante,1.0,1,0,1,200.0,600.0,False,False
estudiante,Quepe,Pitrufquén,Estudiante,estudiante,1.0,1,0,1,200.0,700.0,False,False
estudiante,Quepe,Temuco,Estudiante,estudiante,1.0,1,0,1,250.0,900.0,False,False
estudiante,Quillem,Cajon,Estudiante,estudiante,1.0,1,0,1,250.0,750.0,False,False
estudiante,Quillem,L. Centro,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,Quillem,Lautaro,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,Quillem,Perquenco,Estudiante,estudiante,1.0,1,0,1,350.0,1200.0,False,False
estudiante,Quillem,Temuco,Estudiante,estudiante,1.0,1,0,1,450.0,1500.0,False,False
