mes,mes_nombre,grupo_subsidio_referencial,origen,destino,viajes_observados_base_referencial
1,Enero,sin_subsidio_adulto_mayor,Higueras,La Leonera,19.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Laguna Quiñenco,36.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Lomas Coloradas,16.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Lorenzo Arenas,16.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Los Canelos,21.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Los Cóndores,6.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Manquimávida,30.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Mercado,58.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Pasajero Lota,0.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,Pedro Medina,31.0
1,Enero,sin_subsidio_adulto_mayor,Higueras,UTFSM,9.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Alborada,7.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,C. Raúl Silva H.,4.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Chiguayante,1.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Concepcion Centro,0.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Concepción,596.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Costa Mar,27.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Cristo Redentor,62.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Diagonal Biobío,69.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,El Arenal,29.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,El Parque,20.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Higueras,2.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Hito Galvarino,5.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Hualqui,1.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Huinca,88.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Intermodal Coronel,46.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Juan Pablo II,127.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,La Leonera,0.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Laguna Quiñenco,113.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Lomas Coloradas,17.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Lorenzo Arenas,12.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Los Canelos,43.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Los Cóndores,29.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Manquimávida,11.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Mercado,9.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Pasajero Lota,0.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,Pedro Medina,0.0
1,Enero,sin_subsidio_adulto_mayor,Hito Galvarino,UTFSM,2.0
1,Enero,sin_subsidio_adulto_mayor,Hualqui,Alborada,0.0
1,Enero,sin_subsidio_adulto_mayor,Hualqui,C. Raúl Silva H.,5.0
1,Enero,sin_subsidio_adulto_mayor,Hualqui,Chiguayante,6.0
1,Enero,sin_subsidio_adulto_mayor,Hualqui,Concepcion Centro,0.0
1,Enero,sin_subsidio_adulto_mayor,Hualqui,Concepción,330.0
1,Enero,sin_subsidio_adulto_mayor,Hualqui,Costa Mar,0.0
1,Enero,sin_subsidio_adulto_mayor,Hualqui,Cristo Redentor,3.0
1,Enero,sin_subsidio_adulto_mayor,Hualqui,Diagonal Biobío,7.0
1,Enero,sin_subsidio_adulto_mayor,Hualqui,El Arenal,13.0
1,Enero,sin_subsidio_adulto_mayor,Hualqui,El Parque,19.0
1,Enero,sin_subsidio_adulto_mayor,Hualqui,Higueras,13.0
