anio,mes,estacion,factor_origen,factor_destino,total_mes
2024,2,C. Raúl Silva H.,0.0503884712293409,0.04607652944739063,782790.0
2024,2,Chiguayante,0.012357527510161226,0.013017853407650758,782790.0
2024,2,Concepción,0.267069697876977,0.2738780270063722,782790.0
2024,2,Costa Mar,0.05653784159560986,0.05135913662730687,782790.0
2024,2,Cristo Redentor,0.059731467468354255,0.055016221049220944,782790.0
2024,2,Diagonal Biobío,0.029618965981595646,0.032722360986360104,782790.0
2024,2,El Arenal,0.008469397380843987,0.00806062420620761,782790.0
2024,2,El Parque,0.031046254256914624,0.0301835924736519,782790.0
2024,2,Higueras,0.012213978402011327,0.012320614882351252,782790.0
2024,2,Hito Galvarino,0.029623067384685637,0.030575960035928294,782790.0
2024,2,Hualqui,0.016828056878258054,0.021660876852637956,782790.0
2024,2,Huinca,0.037123166501926985,0.03552772069991811,782790.0
2024,2,Intermodal Coronel,0.07347663635729786,0.06845651897514139,782790.0
2024,2,Juan Pablo II,0.041417335537153925,0.05441194766062803,782790.0
2024,2,La Leonera,0.012075897831314759,0.011485295786355182,782790.0
2024,2,Laguna Quiñenco,0.05621109648277344,0.0529614181011324,782790.0
2024,2,Lomas Coloradas,0.06815848368393496,0.06648100982012614,782790.0
2024,2,Lorenzo Arenas,0.007420805324168065,0.008458460305937329,782790.0
2024,2,Los Canelos,0.06433597600405765,0.061038447919700006,782790.0
2024,2,Los Cóndores,0.013023321945104088,0.012149723086934705,782790.0
2024,2,Manquimávida,0.009210384205770129,0.009381276001186671,782790.0
2024,2,Mercado,0.014189487557026596,0.013757473098213565,782790.0
2024,2,Pedro Medina,0.006817899069938495,0.008077029818567599,782790.0
2024,2,UTFSM,0.009598650364956518,0.009049062350896909,782790.0
2024,3,Alborada,0.013510880779289325,0.013432184073514238,1107393.0
2024,3,C. Raúl Silva H.,0.051196045970392755,0.04320161232275246,1107393.0
2024,3,Chiguayante,0.012943688668154226,0.012399529739197198,1107393.0
2024,3,Concepción,0.27554691811223875,0.30314546894119343,1107393.0
2024,3,Costa Mar,0.060066700256724004,0.051032894263298066,1107393.0
2024,3,Cristo Redentor,0.05992274286811105,0.053725857146284695,1107393.0
2024,3,Diagonal Biobío,0.02971280500971712,0.038985580268240595,1107393.0
2024,3,El Arenal,0.0069790541999568126,0.007257371817941887,1107393.0
2024,3,El Parque,0.025043787039036435,0.021714532498380474,1107393.0
2024,3,Higueras,0.01128721898318098,0.011978214448523237,1107393.0
2024,3,Hito Galvarino,0.028222366179610832,0.02736342042755344,1107393.0
2024,3,Hualqui,0.015802682406007823,0.0191021857530171,1107393.0
2024,3,Huinca,0.036575733582859475,0.03471484440605581,1107393.0
2024,3,Intermodal Coronel,0.07526668106240551,0.062493821828738694,1107393.0
2024,3,Juan Pablo II,0.03462271167734351,0.05146764557690923,1107393.0
2024,3,La Leonera,0.011619280692914897,0.0104983324935819,1107393.0
2024,3,Laguna Quiñenco,0.05189855802682406,0.048863936274862636,1107393.0
2024,3,Lomas Coloradas,0.07244607596151538,0.06400921327287122,1107393.0
2024,3,Lorenzo Arenas,0.007106696417860314,0.008441661268264594,1107393.0
2024,3,Los Canelos,0.06391324168046257,0.06145348976702896,1107393.0
2024,3,Los Cóndores,0.013387077425082173,0.01200988507401809,1107393.0
2024,3,Manquimávida,0.010877420283596052,0.010643249598118958,1107393.0
2024,3,Mercado,0.011816022457352623,0.01065284675735982,1107393.0
2024,3,Pedro Medina,0.00789558290745939,0.008293865015955275,1107393.0
2024,3,UTFSM,0.012340027351903834,0.013118356966337962,1107393.0
2024,4,Alborada,0.012614877085929009,0.012445677400441366,1165612.0
2024,4,C. Raúl Silva H.,0.04971665838764463,0.04206105122769301,1165612.0
2024,4,Chiguayante,0.01328896139442256,0.012658308021241347,1165612.0
2024,4,Concepción,0.279560406549747,0.304750349030902,1165612.0
2024,4,Costa Mar,0.05677599499820394,0.04959088963746931,1165612.0
2024,4,Cristo Redentor,0.06101413043576608,0.05565221954699724,1165612.0
2024,4,Diagonal Biobío,0.027648314382063752,0.03767633638345173,1165612.0
2024,4,El Arenal,0.007896286926474145,0.00815958697180518,1165612.0
2024,4,El Parque,0.023982019592780693,0.019984563921741076,1165612.0
2024,4,Higueras,0.01252982483760902,0.013630980010007211,1165612.0
