alpha,beta,funcion,lambda,train_MAE,train_RMSE,train_MAPE_pct,train_Correlacion,train_Desviacion_abs_total,train_Desviacion_pct_total,train_CPC,train_R2,valid_MAE,valid_RMSE,valid_MAPE_pct,valid_Correlacion,valid_Desviacion_abs_total,valid_Desviacion_pct_total,valid_CPC,valid_R2,score
0.5,0.5,exponencial,0.35,22389.0382845984,56057.53102405628,80.35470829707907,0.9147312487048861,1.1175870895385742e-08,-3.4479067732084257e-14,0.7841462494576104,0.83348618108216,755.2505276550405,1874.903549876287,82.21991806885111,0.9369607879401007,0.0,0.0,0.7894925863010465,0.871373514562805,1484.178294433556
0.75,0.25,exponencial,0.5,22749.140752112184,57337.862686845416,78.95096283480648,0.9105125466230614,3.725290298461914e-09,-1.1493022577361418e-14,0.7806744849626658,0.8257931010871283,769.6624597367546,1933.01103553056,80.58655850971962,0.9326922595861604,0.0,0.0,0.7854756165170645,0.863277117056604,1531.984129500123
0.25,0.75,exponencial,0.35,22881.182280246663,57812.131366681686,79.27250648230385,0.9087192912499251,0.0,0.0,0.7794014665010026,0.822899286413185,773.3122788205695,1938.2228863705834,80.92743673628613,0.9321295398888244,0.0,0.0,0.7844583196762553,0.8625388492458413,1536.4350746721013
0.5,0.5,potencial,0.35,23008.040151037083,57943.75148397759,82.01948614195582,0.9083028810931699,3.725290298461914e-09,-1.1493022577361418e-14,0.7781784239188311,0.8220919627270431,777.3183879148946,1943.6369074164704,83.97600614180418,0.9317915215647615,0.0,0.0,0.7833417158030206,0.8617698386468826,1541.0042960374728
0.75,0.25,potencial,0.5,22995.332281175528,57919.415211845866,80.33487920726404,0.9085383056629306,0.0,0.0,0.7783009410781727,0.8222413734601294,778.3417769283078,1955.2685272135407,82.11411061455979,0.9310230257043361,0.0,0.0,0.7830564714151875,0.8601104220085822,1550.4820970605792
0.5,0.5,exponencial,0.5,23478.411875795962,59914.06551835335,77.55261652185746,0.9013322026199114,3.725290298461914e-09,-1.1493022577361418e-14,0.7736435484298673,0.8097871164391363,796.114383850148,2026.3666075445603,78.86227630650964,0.9251813127410436,0.0,0.0,0.778102796600261,0.8497520411450564,1609.3622767531133
0.25,0.75,exponencial,0.5,24230.300713845874,62550.278393840774,76.38907130163352,0.891410436539279,3.725290298461914e-09,-1.1493022577361418e-14,0.7663945534698793,0.7926801703651442,823.1030842682813,2121.9127316893937,77.27866293796902,0.916987142463279,0.0,0.0,0.7705803635583975,0.8352491826865031,1689.0278434870131
0.25,0.75,potencial,0.35,24515.21322178283,62937.10906239917,82.26559072518327,0.8898736180900328,3.725290298461914e-09,-1.1493022577361418e-14,0.7636476988424996,0.7901079787069059,832.9746394347046,2125.3770367204884,83.87781150609905,0.9166968124831271,0.0,0.0,0.767828911594872,0.8347107882586207,1692.3752093716914
0.5,0.5,potencial,0.5,24473.85653099615,62824.185907771185,80.10892275293435,0.8904114271743411,7.450580596923828e-09,-2.2986045154722837e-14,0.7640464206054826,0.790860488839596,833.141234539093,2135.1660106669146,81.50357487084354,0.9159199189386348,0.0,0.0,0.7677824773279953,0.8331847175000305,1700.4081481284054
0.75,0.25,exponencial,0.75,24287.812582616883,62788.48140595419,75.48758435306912,0.8906561691755978,3.725290298461914e-09,-1.1493022577361418e-14,0.7658400788909752,0.7910981393573725,827.6425826926865,2151.5710024836117,76.34727167687404,0.9145395039873745,0.0,0.0,0.7693150905955584,0.8306115064990747,1713.599578017655
0.75,0.25,potencial,0.75,24763.42362329529,63794.81438096447,77.53051300965828,0.8867715714692432,3.725290298461914e-09,1.1493022577361418e-14,0.7612546909156268,0.7843481909705008,847.1953618570368,2192.0235879386605,78.64584434975768,0.9109431561489926,0.0,0.0,0.7638652367764636,0.8241821411081611,1747.9405867865107
