origen,destino,tarifa_versionada_anterior,tarifa_presupuesto_2026_normalizada,diferencia_nueva_menos_anterior
Huinca,Concepción,850,530,-320
Huinca,Lorenzo Arenas,850,530,-320
Huinca,UTFSM,880,530,-350
Huinca,Los Cóndores,880,530,-350
Huinca,Higueras,880,530,-350
Huinca,El Arenal,900,540,-360
Huinca,Mercado,900,550,-350
Huinca,Juan Pablo II,680,550,-130
Huinca,Diagonal Biobío,680,410,-270
Huinca,Alborada,680,410,-270
Huinca,Costa Mar,630,410,-220
Huinca,El Parque,630,380,-250
Huinca,Lomas Coloradas,630,380,-250
Huinca,C. Raúl Silva H.,630,380,-250
Huinca,Hito Galvarino,460,370,-90
Huinca,Los Canelos,460,300,-160
Huinca,Cristo Redentor,440,300,-140
Huinca,Laguna Quiñenco,450,300,-150
Huinca,Intermodal Coronel,450,340,-110
Cristo Redentor,Hualqui,960,590,-370
Cristo Redentor,La Leonera,910,550,-360
Cristo Redentor,Manquimávida,910,550,-360
Cristo Redentor,Pedro Medina,910,550,-360
Cristo Redentor,Chiguayante,910,550,-360
Cristo Redentor,Concepción,850,530,-320
Cristo Redentor,Lorenzo Arenas,850,530,-320
Cristo Redentor,UTFSM,880,530,-350
Cristo Redentor,Los Cóndores,880,540,-340
Cristo Redentor,Higueras,880,540,-340
Cristo Redentor,El Arenal,900,550,-350
Cristo Redentor,Mercado,900,560,-340
Cristo Redentor,Juan Pablo II,680,560,-120
Cristo Redentor,Diagonal Biobío,680,420,-260
Cristo Redentor,Alborada,680,420,-260
Cristo Redentor,Costa Mar,630,420,-210
Cristo Redentor,El Parque,630,400,-230
Cristo Redentor,Lomas Coloradas,630,400,-230
Cristo Redentor,C. Raúl Silva H.,630,400,-230
Cristo Redentor,Hito Galvarino,460,390,-70
Cristo Redentor,Los Canelos,460,300,-160
Cristo Redentor,Huinca,440,300,-140
Cristo Redentor,Laguna Quiñenco,450,300,-150
Cristo Redentor,Intermodal Coronel,450,300,-150
Laguna Quiñenco,Hualqui,970,580,-390
Laguna Quiñenco,La Leonera,910,550,-360
Laguna Quiñenco,Manquimávida,910,550,-360
Laguna Quiñenco,Pedro Medina,910,550,-360
Laguna Quiñenco,Chiguayante,910,550,-360
Laguna Quiñenco,Concepción,880,530,-350
Laguna Quiñenco,Lorenzo Arenas,880,530,-350
Laguna Quiñenco,UTFSM,900,540,-360
Laguna Quiñenco,Los Cóndores,900,550,-350
Laguna Quiñenco,Higueras,900,550,-350
Laguna Quiñenco,El Arenal,910,540,-370
Laguna Quiñenco,Mercado,910,550,-360
Laguna Quiñenco,Juan Pablo II,790,550,-240
Laguna Quiñenco,Diagonal Biobío,790,410,-380
Laguna Quiñenco,Alborada,790,410,-380
Laguna Quiñenco,Costa Mar,650,420,-230
Laguna Quiñenco,El Parque,650,400,-250
Laguna Quiñenco,Lomas Coloradas,650,400,-250
Laguna Quiñenco,C. Raúl Silva H.,650,400,-250
Laguna Quiñenco,Hito Galvarino,530,390,-140
Laguna Quiñenco,Los Canelos,530,300,-230
Laguna Quiñenco,Huinca,450,300,-150
Laguna Quiñenco,Cristo Redentor,450,300,-150
Laguna Quiñenco,Intermodal Coronel,440,300,-140
Intermodal Coronel,Hualqui,970,590,-380
Intermodal Coronel,La Leonera,910,560,-350
Intermodal Coronel,Manquimávida,910,560,-350
Intermodal Coronel,Pedro Medina,910,560,-350
Intermodal Coronel,Chiguayante,910,560,-350
Intermodal Coronel,Concepción,880,540,-340
Intermodal Coronel,Lorenzo Arenas,880,540,-340
Intermodal Coronel,UTFSM,900,550,-350
Intermodal Coronel,Los Cóndores,900,560,-340
Intermodal Coronel,Higueras,900,560,-340
Intermodal Coronel,El Arenal,910,550,-360
Intermodal Coronel,Mercado,910,550,-360
Intermodal Coronel,Juan Pablo II,790,550,-240
Intermodal Coronel,Diagonal Biobío,790,490,-300
Intermodal Coronel,Alborada,790,490,-300
Intermodal Coronel,Costa Mar,650,500,-150
Intermodal Coronel,El Parque,650,410,-240
Intermodal Coronel,Lomas Coloradas,650,410,-240
Intermodal Coronel,C. Raúl Silva H.,650,410,-240
Intermodal Coronel,Hito Galvarino,530,400,-130
Intermodal Coronel,Los Canelos,530,340,-190
Intermodal Coronel,Huinca,450,340,-110
Intermodal Coronel,Cristo Redentor,450,300,-150
Intermodal Coronel,Laguna Quiñenco,440,300,-140
