tipo_pasajero,origen,destino,matriz_tarifaria_aplicada,tarifa,tiene_tarifa
normal,Quilacoya,Concepción,Matriz Tarifaria Adulto,1220.0,True
normal,Quilacoya,Chiguayante,Matriz Tarifaria Adulto,1220.0,True
normal,Quilacoya,Pedro Medina,Matriz Tarifaria Adulto,1080.0,True
normal,Quilacoya,Manquimávida,Matriz Tarifaria Adulto,1080.0,True
normal,Quilacoya,La Leonera,Matriz Tarifaria Adulto,1080.0,True
normal,Quilacoya,Hualqui,Matriz Tarifaria Adulto,680.0,True
normal,Quilacoya,Quilacoya,Matriz Tarifaria Adulto,0.0,True
normal,Quilacoya,San Miguel,Matriz Tarifaria Adulto,680.0,True
normal,Quilacoya,Unihue,Matriz Tarifaria Adulto,680.0,True
normal,Quilacoya,Valle Chanco,Matriz Tarifaria Adulto,1250.0,True
normal,Quilacoya,Los Acacios,Matriz Tarifaria Adulto,1250.0,True
normal,Quilacoya,Talcamávida,Matriz Tarifaria Adulto,1250.0,True
normal,Quilacoya,Gomero,Matriz Tarifaria Adulto,1250.0,True
normal,Quilacoya,Buenuraqui,Matriz Tarifaria Adulto,1920.0,True
normal,Quilacoya,San Rosendo,Matriz Tarifaria Adulto,1920.0,True
normal,Quilacoya,Laja,Matriz Tarifaria Adulto,1920.0,True
normal,San Miguel,Mercado,Matriz Tarifaria Adulto,1220.0,True
normal,San Miguel,El Arenal,Matriz Tarifaria Adulto,1220.0,True
normal,San Miguel,Higueras,Matriz Tarifaria Adulto,1220.0,True
normal,San Miguel,Los Cóndores,Matriz Tarifaria Adulto,1220.0,True
normal,San Miguel,UTFSM,Matriz Tarifaria Adulto,1220.0,True
normal,San Miguel,Lorenzo Arenas,Matriz Tarifaria Adulto,1220.0,True
normal,San Miguel,Concepción,Matriz Tarifaria Adulto,1220.0,True
normal,San Miguel,Chiguayante,Matriz Tarifaria Adulto,1220.0,True
normal,San Miguel,Pedro Medina,Matriz Tarifaria Adulto,1080.0,True
normal,San Miguel,Manquimávida,Matriz Tarifaria Adulto,1080.0,True
normal,San Miguel,La Leonera,Matriz Tarifaria Adulto,1080.0,True
normal,San Miguel,Hualqui,Matriz Tarifaria Adulto,680.0,True
normal,San Miguel,Quilacoya,Matriz Tarifaria Adulto,680.0,True
normal,San Miguel,San Miguel,Matriz Tarifaria Adulto,0.0,True
normal,San Miguel,Unihue,Matriz Tarifaria Adulto,680.0,True
normal,San Miguel,Valle Chanco,Matriz Tarifaria Adulto,680.0,True
normal,San Miguel,Los Acacios,Matriz Tarifaria Adulto,1250.0,True
normal,San Miguel,Talcamávida,Matriz Tarifaria Adulto,1250.0,True
normal,San Miguel,Gomero,Matriz Tarifaria Adulto,1250.0,True
normal,San Miguel,Buenuraqui,Matriz Tarifaria Adulto,1250.0,True
normal,San Miguel,San Rosendo,Matriz Tarifaria Adulto,1920.0,True
normal,San Miguel,Laja,Matriz Tarifaria Adulto,1920.0,True
normal,Unihue,Mercado,Matriz Tarifaria Adulto,1360.0,True
normal,Unihue,El Arenal,Matriz Tarifaria Adulto,1360.0,True
normal,Unihue,Higueras,Matriz Tarifaria Adulto,1360.0,True
normal,Unihue,Los Cóndores,Matriz Tarifaria Adulto,1360.0,True
normal,Unihue,UTFSM,Matriz Tarifaria Adulto,1360.0,True
normal,Unihue,Lorenzo Arenas,Matriz Tarifaria Adulto,1360.0,True
normal,Unihue,Concepción,Matriz Tarifaria Adulto,1360.0,True
normal,Unihue,Chiguayante,Matriz Tarifaria Adulto,1360.0,True
normal,Unihue,Pedro Medina,Matriz Tarifaria Adulto,1250.0,True
normal,Unihue,Manquimávida,Matriz Tarifaria Adulto,1250.0,True
normal,Unihue,La Leonera,Matriz Tarifaria Adulto,1250.0,True
normal,Unihue,Hualqui,Matriz Tarifaria Adulto,1250.0,True
normal,Unihue,Quilacoya,Matriz Tarifaria Adulto,680.0,True
normal,Unihue,San Miguel,Matriz Tarifaria Adulto,680.0,True
normal,Unihue,Unihue,Matriz Tarifaria Adulto,0.0,True
normal,Unihue,Valle Chanco,Matriz Tarifaria Adulto,680.0,True
normal,Unihue,Los Acacios,Matriz Tarifaria Adulto,680.0,True
normal,Unihue,Talcamávida,Matriz Tarifaria Adulto,680.0,True
normal,Unihue,Gomero,Matriz Tarifaria Adulto,1250.0,True
normal,Unihue,Buenuraqui,Matriz Tarifaria Adulto,1250.0,True
normal,Unihue,San Rosendo,Matriz Tarifaria Adulto,1250.0,True
normal,Unihue,Laja,Matriz Tarifaria Adulto,1250.0,True
normal,Valle Chanco,Mercado,Matriz Tarifaria Adulto,1360.0,True
normal,Valle Chanco,El Arenal,Matriz Tarifaria Adulto,1360.0,True
normal,Valle Chanco,Higueras,Matriz Tarifaria Adulto,1360.0,True
normal,Valle Chanco,Los Cóndores,Matriz Tarifaria Adulto,1360.0,True
normal,Valle Chanco,UTFSM,Matriz Tarifaria Adulto,1360.0,True
normal,Valle Chanco,Lorenzo Arenas,Matriz Tarifaria Adulto,1360.0,True
normal,Valle Chanco,Concepción,Matriz Tarifaria Adulto,1360.0,True
normal,Valle Chanco,Chiguayante,Matriz Tarifaria Adulto,1360.0,True
normal,Valle Chanco,Pedro Medina,Matriz Tarifaria Adulto,1250.0,True
normal,Valle Chanco,Manquimávida,Matriz Tarifaria Adulto,1250.0,True
normal,Valle Chanco,La Leonera,Matriz Tarifaria Adulto,1250.0,True
normal,Valle Chanco,Hualqui,Matriz Tarifaria Adulto,1250.0,True
normal,Valle Chanco,Quilacoya,Matriz Tarifaria Adulto,1250.0,True
normal,Valle Chanco,San Miguel,Matriz Tarifaria Adulto,680.0,True
normal,Valle Chanco,Unihue,Matriz Tarifaria Adulto,680.0,True
normal,Valle Chanco,Valle Chanco,Matriz Tarifaria Adulto,0.0,True
normal,Valle Chanco,Los Acacios,Matriz Tarifaria Adulto,680.0,True
normal,Valle Chanco,Talcamávida,Matriz Tarifaria Adulto,680.0,True
