periodo,mes,tipo_pasajero,origen,destino,factor_od
2027-01,1,Normal,Higueras,Los Canelos,0.0005346515000817675
2027-01,1,Normal,Higueras,Huinca,0.00023743464324092829
2027-01,1,Normal,Higueras,Cristo Redentor,0.0003919910026807874
2027-01,1,Normal,Higueras,Laguna Quiñenco,0.0003663409883006575
2027-01,1,Normal,Higueras,Intermodal Coronel,0.0006500324378722619
2027-01,1,Normal,Higueras,Pasajero Lota,0.0
2027-01,1,Normal,Higueras,Concepción Centro,0.0
2027-01,1,Normal,El Arenal,Hualqui,0.000750766674709363
2027-01,1,Normal,El Arenal,La Leonera,0.0003843338547804883
2027-01,1,Normal,El Arenal,Manquimávida,0.0003144785275928213
2027-01,1,Normal,El Arenal,Pedro Medina,0.0002206676900563404
2027-01,1,Normal,El Arenal,Chiguayante,0.00033300162082900293
2027-01,1,Normal,El Arenal,Concepción,0.0028769051076836683
2027-01,1,Normal,El Arenal,Lorenzo Arenas,0.00029901536355278745
2027-01,1,Normal,El Arenal,UTFSM,0.00022194927600798834
2027-01,1,Normal,El Arenal,Los Cóndores,0.0001498279343919102
2027-01,1,Normal,El Arenal,Higueras,0.0001267659460372643
2027-01,1,Normal,El Arenal,El Arenal,6.254155870847942e-05
2027-01,1,Normal,El Arenal,Mercado,6.4439149894324e-05
2027-01,1,Normal,El Arenal,Juan Pablo II,0.00035272167215317856
2027-01,1,Normal,El Arenal,Diagonal Biobío,0.0001997026307532787
2027-01,1,Normal,El Arenal,Alborada,0.00012611348577076166
2027-01,1,Normal,El Arenal,Costa Mar,0.00040019901295448715
2027-01,1,Normal,El Arenal,El Parque,0.00020110345007988311
2027-01,1,Normal,El Arenal,Lomas Coloradas,0.00035693057583903096
2027-01,1,Normal,El Arenal,C. Raúl Silva H.,0.00022675877321631343
2027-01,1,Normal,El Arenal,Hito Galvarino,0.00022710506435637173
2027-01,1,Normal,El Arenal,Los Canelos,0.00037572315694398733
2027-01,1,Normal,El Arenal,Huinca,0.00016268666658603357
2027-01,1,Normal,El Arenal,Cristo Redentor,0.00021578145306505754
2027-01,1,Normal,El Arenal,Laguna Quiñenco,0.0002903414489883609
2027-01,1,Normal,El Arenal,Intermodal Coronel,0.0005105591181529062
2027-01,1,Normal,El Arenal,Pasajero Lota,0.0
2027-01,1,Normal,El Arenal,Concepción Centro,0.0
2027-01,1,Normal,Mercado,Hualqui,0.0010259345917258504
2027-01,1,Normal,Mercado,La Leonera,0.0006793999685719995
2027-01,1,Normal,Mercado,Manquimávida,0.000620351594330408
2027-01,1,Normal,Mercado,Pedro Medina,0.0005196447969265059
2027-01,1,Normal,Mercado,Chiguayante,0.0009378146723070528
2027-01,1,Normal,Mercado,Concepción,0.003613472117501785
2027-01,1,Normal,Mercado,Lorenzo Arenas,0.0004622642183246433
2027-01,1,Normal,Mercado,UTFSM,0.00040623002500611214
2027-01,1,Normal,Mercado,Los Cóndores,0.00033301060670640323
2027-01,1,Normal,Mercado,Higueras,0.00039133578299923395
2027-01,1,Normal,Mercado,El Arenal,8.915470574013385e-05
2027-01,1,Normal,Mercado,Mercado,0.00010648293010966373
2027-01,1,Normal,Mercado,Juan Pablo II,0.000478920207422181
2027-01,1,Normal,Mercado,Diagonal Biobío,0.00035146405291048086
2027-01,1,Normal,Mercado,Alborada,0.00014191076404577392
2027-01,1,Normal,Mercado,Costa Mar,0.0006540597246756511
2027-01,1,Normal,Mercado,El Parque,0.00035416922990297604
2027-01,1,Normal,Mercado,Lomas Coloradas,0.000694889061996913
2027-01,1,Normal,Mercado,C. Raúl Silva H.,0.0006417000025483678
2027-01,1,Normal,Mercado,Hito Galvarino,0.00032065681612481703
2027-01,1,Normal,Mercado,Los Canelos,0.0005885519943602457
2027-01,1,Normal,Mercado,Huinca,0.00024883420956089617
2027-01,1,Normal,Mercado,Cristo Redentor,0.0004490643718894511
2027-01,1,Normal,Mercado,Laguna Quiñenco,0.00039841912382067085
2027-01,1,Normal,Mercado,Intermodal Coronel,0.0007968041846170494
2027-01,1,Normal,Mercado,Pasajero Lota,0.0
2027-01,1,Normal,Mercado,Concepción Centro,0.0
2027-01,1,Normal,Juan Pablo II,Hualqui,0.0007476759820249116
2027-01,1,Normal,Juan Pablo II,La Leonera,0.0004931453507270501
2027-01,1,Normal,Juan Pablo II,Manquimávida,0.00048714012198458856
2027-01,1,Normal,Juan Pablo II,Pedro Medina,0.0003754842908866528
2027-01,1,Normal,Juan Pablo II,Chiguayante,0.00043707915155586746
2027-01,1,Normal,Juan Pablo II,Concepción,0.0051253581560844405
2027-01,1,Normal,Juan Pablo II,Lorenzo Arenas,0.00013065693590565426
2027-01,1,Normal,Juan Pablo II,UTFSM,0.00020171977332753533
2027-01,1,Normal,Juan Pablo II,Los Cóndores,0.00033201679285999297
2027-01,1,Normal,Juan Pablo II,Higueras,0.00033185517983974465
2027-01,1,Normal,Juan Pablo II,El Arenal,0.00020894555874867402
2027-01,1,Normal,Juan Pablo II,Mercado,0.000303059336333105
2027-01,1,Normal,Juan Pablo II,Juan Pablo II,0.00022608907993801566
2027-01,1,Normal,Juan Pablo II,Diagonal Biobío,0.0006563270380319426
2027-01,1,Normal,Juan Pablo II,Alborada,0.0007585600164086326
2027-01,1,Normal,Juan Pablo II,Costa Mar,0.003164460940682418
2027-01,1,Normal,Juan Pablo II,El Parque,0.0011016350303176881
2027-01,1,Normal,Juan Pablo II,Lomas Coloradas,0.004396583693660339
2027-01,1,Normal,Juan Pablo II,C. Raúl Silva H.,0.0032447735831811573
2027-01,1,Normal,Juan Pablo II,Hito Galvarino,0.0016330873515189462
2027-01,1,Normal,Juan Pablo II,Los Canelos,0.0034740795538400586
2027-01,1,Normal,Juan Pablo II,Huinca,0.0020719106760237293
2027-01,1,Normal,Juan Pablo II,Cristo Redentor,0.00300839801306279
2027-01,1,Normal,Juan Pablo II,Laguna Quiñenco,0.0026301664493121628
2027-01,1,Normal,Juan Pablo II,Intermodal Coronel,0.003965838001734073
2027-01,1,Normal,Juan Pablo II,Pasajero Lota,0.0
2027-01,1,Normal,Juan Pablo II,Concepción Centro,0.0
2027-01,1,Normal,Diagonal Biobío,Hualqui,0.000294959572166226
2027-01,1,Normal,Diagonal Biobío,La Leonera,0.00035564703835693244
2027-01,1,Normal,Diagonal Biobío,Manquimávida,0.0001796796607873659
2027-01,1,Normal,Diagonal Biobío,Pedro Medina,0.00023232646528776503
2027-01,1,Normal,Diagonal Biobío,Chiguayante,0.0003922970712455487
2027-01,1,Normal,Diagonal Biobío,Concepción,0.004992502198770342
2027-01,1,Normal,Diagonal Biobío,Lorenzo Arenas,0.0001369497446403506
2027-01,1,Normal,Diagonal Biobío,UTFSM,0.00016504603650149748
2027-01,1,Normal,Diagonal Biobío,Los Cóndores,0.0002522667436997857
2027-01,1,Normal,Diagonal Biobío,Higueras,0.00028108037016219003
2027-01,1,Normal,Diagonal Biobío,El Arenal,0.00016973656763288197
2027-01,1,Normal,Diagonal Biobío,Mercado,0.0003099274051029797
2027-01,1,Normal,Diagonal Biobío,Juan Pablo II,0.0007562913932226219
2027-01,1,Normal,Diagonal Biobío,Diagonal Biobío,0.0002723212936389686
2027-01,1,Normal,Diagonal Biobío,Alborada,0.0007130379679413012
2027-01,1,Normal,Diagonal Biobío,Costa Mar,0.0022977932109956374
2027-01,1,Normal,Diagonal Biobío,El Parque,0.001396135801255945
2027-01,1,Normal,Diagonal Biobío,Lomas Coloradas,0.003154327785742628
2027-01,1,Normal,Diagonal Biobío,C. Raúl Silva H.,0.0020208962132929487
2027-01,1,Normal,Diagonal Biobío,Hito Galvarino,0.0011994552666841083
2027-01,1,Normal,Diagonal Biobío,Los Canelos,0.002092604527077268
2027-01,1,Normal,Diagonal Biobío,Huinca,0.0011835447826011552
2027-01,1,Normal,Diagonal Biobío,Cristo Redentor,0.0018706999001776455
2027-01,1,Normal,Diagonal Biobío,Laguna Quiñenco,0.00161054891597605
2027-01,1,Normal,Diagonal Biobío,Intermodal Coronel,0.0029487295740076897
2027-01,1,Normal,Diagonal Biobío,Pasajero Lota,0.0
2027-01,1,Normal,Diagonal Biobío,Concepción Centro,0.0
2027-01,1,Normal,Alborada,Hualqui,0.00021332852367288851
2027-01,1,Normal,Alborada,La Leonera,0.00014897280166984074
2027-01,1,Normal,Alborada,Manquimávida,8.318655273317352e-05
2027-01,1,Normal,Alborada,Pedro Medina,6.49243129021403e-05
2027-01,1,Normal,Alborada,Chiguayante,0.00013604402723331588
2027-01,1,Normal,Alborada,Concepción,0.0036388582092561684
2027-01,1,Normal,Alborada,Lorenzo Arenas,7.435410854713191e-05
2027-01,1,Normal,Alborada,UTFSM,0.00012393116276136637
2027-01,1,Normal,Alborada,Los Cóndores,9.437164921097618e-05
