periodo,mes,tipo_pasajero,origen,destino,viajes_proyectados
2027-01,1,Normal,UTFSM,Huinca,149.7921878828123
2027-01,1,Normal,UTFSM,Cristo Redentor,195.41797446658148
2027-01,1,Normal,UTFSM,Laguna Quiñenco,200.6945574007467
2027-01,1,Normal,UTFSM,Intermodal Coronel,354.1844838757528
2027-01,1,Normal,UTFSM,Pasajero Lota,0.0
2027-01,1,Normal,UTFSM,Concepción Centro,0.0
2027-01,1,Normal,Los Cóndores,Hualqui,547.0068725026256
2027-01,1,Normal,Los Cóndores,La Leonera,430.42629024294195
2027-01,1,Normal,Los Cóndores,Manquimávida,287.2099431517371
2027-01,1,Normal,Los Cóndores,Pedro Medina,247.834350659549
2027-01,1,Normal,Los Cóndores,Chiguayante,373.32704430997444
2027-01,1,Normal,Los Cóndores,Concepción,3131.3731525728217
2027-01,1,Normal,Los Cóndores,Lorenzo Arenas,200.71825673239888
2027-01,1,Normal,Los Cóndores,UTFSM,157.08103922660626
2027-01,1,Normal,Los Cóndores,Los Cóndores,89.74718611069926
2027-01,1,Normal,Los Cóndores,Higueras,101.50107410866345
2027-01,1,Normal,Los Cóndores,El Arenal,139.59922202747188
2027-01,1,Normal,Los Cóndores,Mercado,184.43218610482148
2027-01,1,Normal,Los Cóndores,Juan Pablo II,329.2836484511201
2027-01,1,Normal,Los Cóndores,Diagonal Biobío,235.34289743212446
2027-01,1,Normal,Los Cóndores,Alborada,97.79679374025001
2027-01,1,Normal,Los Cóndores,Costa Mar,336.79422180898456
2027-01,1,Normal,Los Cóndores,El Parque,270.16676670228
2027-01,1,Normal,Los Cóndores,Lomas Coloradas,485.7819376765127
2027-01,1,Normal,Los Cóndores,C. Raúl Silva H.,324.05151585170483
2027-01,1,Normal,Los Cóndores,Hito Galvarino,247.64780215442366
2027-01,1,Normal,Los Cóndores,Los Canelos,360.3458915025442
2027-01,1,Normal,Los Cóndores,Huinca,138.1889741397988
2027-01,1,Normal,Los Cóndores,Cristo Redentor,246.2218635400328
2027-01,1,Normal,Los Cóndores,Laguna Quiñenco,269.1213714773636
2027-01,1,Normal,Los Cóndores,Intermodal Coronel,662.3095422731129
2027-01,1,Normal,Los Cóndores,Pasajero Lota,0.0
2027-01,1,Normal,Los Cóndores,Concepción Centro,0.0
2027-01,1,Normal,Higueras,Hualqui,571.5676196435779
2027-01,1,Normal,Higueras,La Leonera,366.81961409717724
2027-01,1,Normal,Higueras,Manquimávida,353.00444496152187
2027-01,1,Normal,Higueras,Pedro Medina,363.30504022230815
2027-01,1,Normal,Higueras,Chiguayante,484.2119894521807
2027-01,1,Normal,Higueras,Concepción,2705.617951766365
2027-01,1,Normal,Higueras,Lorenzo Arenas,344.1962419054519
2027-01,1,Normal,Higueras,UTFSM,252.80362682009894
2027-01,1,Normal,Higueras,Los Cóndores,82.70993668927017
2027-01,1,Normal,Higueras,Higueras,54.396884380109185
2027-01,1,Normal,Higueras,El Arenal,87.89885310204308
2027-01,1,Normal,Higueras,Mercado,277.4112689849922
2027-01,1,Normal,Higueras,Juan Pablo II,301.59491068361365
2027-01,1,Normal,Higueras,Diagonal Biobío,242.1335990525258
2027-01,1,Normal,Higueras,Alborada,155.31486249834526
2027-01,1,Normal,Higueras,Costa Mar,357.20790456225365
2027-01,1,Normal,Higueras,El Parque,190.1565620667567
2027-01,1,Normal,Higueras,Lomas Coloradas,469.1243534779942
2027-01,1,Normal,Higueras,C. Raúl Silva H.,302.7406384208091
2027-01,1,Normal,Higueras,Hito Galvarino,222.9366335072196
2027-01,1,Normal,Higueras,Los Canelos,362.1702442785915
2027-01,1,Normal,Higueras,Huinca,160.8370363304245
2027-01,1,Normal,Higueras,Cristo Redentor,265.53273894153256
2027-01,1,Normal,Higueras,Laguna Quiñenco,248.157547864017
2027-01,1,Normal,Higueras,Intermodal Coronel,440.32871277308834
2027-01,1,Normal,Higueras,Pasajero Lota,0.0
2027-01,1,Normal,Higueras,Concepción Centro,0.0
2027-01,1,Normal,El Arenal,Hualqui,508.5655795113857
2027-01,1,Normal,El Arenal,La Leonera,260.345825363053
