origen,destino,tarifa_2026
Intermodal Coronel,Intermodal Coronel,150.0
Intermodal Coronel,Pasajero Lota,0.0
Intermodal Coronel,Concepción Centro,0.0
Pasajero Lota,Hualqui,0.0
Pasajero Lota,La Leonera,0.0
Pasajero Lota,Manquimávida,0.0
Pasajero Lota,Pedro Medina,0.0
Pasajero Lota,Chiguayante,0.0
Pasajero Lota,Concepción,0.0
Pasajero Lota,Lorenzo Arenas,0.0
Pasajero Lota,UTFSM,0.0
Pasajero Lota,Los Cóndores,0.0
Pasajero Lota,Higueras,0.0
Pasajero Lota,El Arenal,0.0
Pasajero Lota,Mercado,0.0
Pasajero Lota,Juan Pablo II,0.0
Pasajero Lota,Diagonal Biobío,0.0
Pasajero Lota,Alborada,0.0
Pasajero Lota,Costa Mar,0.0
Pasajero Lota,El Parque,0.0
Pasajero Lota,Lomas Coloradas,0.0
Pasajero Lota,C. Raúl Silva H.,0.0
Pasajero Lota,Hito Galvarino,0.0
Pasajero Lota,Los Canelos,0.0
Pasajero Lota,Huinca,0.0
Pasajero Lota,Cristo Redentor,0.0
Pasajero Lota,Laguna Quiñenco,0.0
Pasajero Lota,Intermodal Coronel,0.0
Pasajero Lota,Pasajero Lota,0.0
Pasajero Lota,Concepción Centro,0.0
Concepción Centro,Hualqui,0.0
Concepción Centro,La Leonera,0.0
Concepción Centro,Manquimávida,0.0
Concepción Centro,Pedro Medina,0.0
Concepción Centro,Chiguayante,0.0
Concepción Centro,Concepción,0.0
Concepción Centro,Lorenzo Arenas,0.0
Concepción Centro,UTFSM,0.0
Concepción Centro,Los Cóndores,0.0
Concepción Centro,Higueras,0.0
Concepción Centro,El Arenal,0.0
Concepción Centro,Mercado,0.0
Concepción Centro,Juan Pablo II,0.0
Concepción Centro,Diagonal Biobío,0.0
Concepción Centro,Alborada,0.0
Concepción Centro,Costa Mar,0.0
Concepción Centro,El Parque,0.0
Concepción Centro,Lomas Coloradas,0.0
Concepción Centro,C. Raúl Silva H.,0.0
Concepción Centro,Hito Galvarino,0.0
Concepción Centro,Los Canelos,0.0
