periodo,mes,tipo_pasajero,origen,destino,ingresos_proyectados
2027-01,1,Normal,Juan Pablo II,Concepción,1978978.3861425181
2027-01,1,Normal,Juan Pablo II,Lorenzo Arenas,50448.62120512426
2027-01,1,Normal,Juan Pablo II,UTFSM,76520.61905667938
2027-01,1,Normal,Juan Pablo II,Los Cóndores,125947.64562623043
2027-01,1,Normal,Juan Pablo II,Higueras,125886.33915065284
2027-01,1,Normal,Juan Pablo II,El Arenal,79261.65710404262
2027-01,1,Normal,Juan Pablo II,Mercado,114962.88957979936
2027-01,1,Normal,Juan Pablo II,Juan Pablo II,67386.70781029163
2027-01,1,Normal,Juan Pablo II,Diagonal Biobío,195620.76307258228
2027-01,1,Normal,Juan Pablo II,Alborada,226091.69003789432
2027-01,1,Normal,Juan Pablo II,Costa Mar,1093230.8836280936
2027-01,1,Normal,Juan Pablo II,El Parque,380583.44223713217
2027-01,1,Normal,Juan Pablo II,Lomas Coloradas,1518894.1075469996
2027-01,1,Normal,Juan Pablo II,C. Raúl Silva H.,1120976.6080251436
2027-01,1,Normal,Juan Pablo II,Hito Galvarino,719059.3671005054
2027-01,1,Normal,Juan Pablo II,Los Canelos,1529660.6411883398
2027-01,1,Normal,Juan Pablo II,Huinca,954381.2913085232
2027-01,1,Normal,Juan Pablo II,Cristo Redentor,1385754.1320203023
2027-01,1,Normal,Juan Pablo II,Laguna Quiñenco,1407512.6320287085
2027-01,1,Normal,Juan Pablo II,Intermodal Coronel,2122286.6277075303
2027-01,1,Normal,Juan Pablo II,Pasajero Lota,0.0
2027-01,1,Normal,Juan Pablo II,Concepción Centro,0.0
2027-01,1,Normal,Diagonal Biobío,Hualqui,119882.48077943866
2027-01,1,Normal,Diagonal Biobío,La Leonera,142138.97669043005
2027-01,1,Normal,Diagonal Biobío,Manquimávida,71811.31954420492
2027-01,1,Normal,Diagonal Biobío,Pedro Medina,92852.30150283338
2027-01,1,Normal,Diagonal Biobío,Chiguayante,156786.64026869467
2027-01,1,Normal,Diagonal Biobío,Concepción,1927680.6894766265
2027-01,1,Normal,Diagonal Biobío,Lorenzo Arenas,52878.369935817216
2027-01,1,Normal,Diagonal Biobío,UTFSM,62608.760051694626
2027-01,1,Normal,Diagonal Biobío,Los Cóndores,95695.16699771781
2027-01,1,Normal,Diagonal Biobío,Higueras,106625.36237619008
2027-01,1,Normal,Diagonal Biobío,El Arenal,64388.07171736551
2027-01,1,Normal,Diagonal Biobío,Mercado,117568.2309666416
2027-01,1,Normal,Diagonal Biobío,Juan Pablo II,225415.5182926279
2027-01,1,Normal,Diagonal Biobío,Diagonal Biobío,81166.39445832967
2027-01,1,Normal,Diagonal Biobío,Alborada,212523.67083132762
2027-01,1,Normal,Diagonal Biobío,Costa Mar,793821.9335106335
2027-01,1,Normal,Diagonal Biobío,El Parque,482325.0481779389
2027-01,1,Normal,Diagonal Biobío,Lomas Coloradas,1089730.1679812833
2027-01,1,Normal,Diagonal Biobío,C. Raúl Silva H.,698161.9284902536
2027-01,1,Normal,Diagonal Biobío,Hito Galvarino,528128.2376751277
2027-01,1,Normal,Diagonal Biobío,Los Canelos,921387.876424549
2027-01,1,Normal,Diagonal Biobío,Huinca,545174.5632722534
2027-01,1,Normal,Diagonal Biobío,Cristo Redentor,861697.8555314029
2027-01,1,Normal,Diagonal Biobío,Laguna Quiñenco,861872.4280089807
2027-01,1,Normal,Diagonal Biobío,Intermodal Coronel,1577989.151575504
2027-01,1,Normal,Diagonal Biobío,Pasajero Lota,0.0
2027-01,1,Normal,Diagonal Biobío,Concepción Centro,0.0
2027-01,1,Normal,Alborada,Hualqui,86704.60311255309
2027-01,1,Normal,Alborada,La Leonera,59538.92286544554
2027-01,1,Normal,Alborada,Manquimávida,33246.59059308964
2027-01,1,Normal,Alborada,Pedro Medina,25947.848296090346
2027-01,1,Normal,Alborada,Chiguayante,54371.76956435518
2027-01,1,Normal,Alborada,Concepción,1405018.2498576173
2027-01,1,Normal,Alborada,Lorenzo Arenas,28709.24709154013
2027-01,1,Normal,Alborada,UTFSM,47012.194880447794
2027-01,1,Normal,Alborada,Los Cóndores,35799.0538056883
2027-01,1,Normal,Alborada,Higueras,61186.71214663587
2027-01,1,Normal,Alborada,El Arenal,46935.36486794419
2027-01,1,Normal,Alborada,Mercado,38880.033212699265
2027-01,1,Normal,Alborada,Juan Pablo II,288297.74159066426
2027-01,1,Normal,Alborada,Diagonal Biobío,211647.43724110245
2027-01,1,Normal,Alborada,Alborada,39220.89984587858
2027-01,1,Normal,Alborada,Costa Mar,84949.0253123593
2027-01,1,Normal,Alborada,El Parque,124304.78386506157
2027-01,1,Normal,Alborada,Lomas Coloradas,384299.6469606843
2027-01,1,Normal,Alborada,C. Raúl Silva H.,201056.6261808913
2027-01,1,Normal,Alborada,Hito Galvarino,178806.0877975285
2027-01,1,Normal,Alborada,Los Canelos,315898.7397489802
2027-01,1,Normal,Alborada,Huinca,197145.69931622947
2027-01,1,Normal,Alborada,Cristo Redentor,347983.7799352096
2027-01,1,Normal,Alborada,Laguna Quiñenco,395740.9107750876
2027-01,1,Normal,Alborada,Intermodal Coronel,521717.7700321317
2027-01,1,Normal,Alborada,Pasajero Lota,0.0
2027-01,1,Normal,Alborada,Concepción Centro,0.0
2027-01,1,Normal,Costa Mar,Hualqui,235560.85947466842
2027-01,1,Normal,Costa Mar,La Leonera,199335.25590050223
2027-01,1,Normal,Costa Mar,Manquimávida,123570.50326848832
2027-01,1,Normal,Costa Mar,Pedro Medina,141684.76375175975
2027-01,1,Normal,Costa Mar,Chiguayante,210393.26035348972
2027-01,1,Normal,Costa Mar,Concepción,7024147.034995151
2027-01,1,Normal,Costa Mar,Lorenzo Arenas,173938.2508207517
2027-01,1,Normal,Costa Mar,UTFSM,262269.882951906
2027-01,1,Normal,Costa Mar,Los Cóndores,206531.46587983926
2027-01,1,Normal,Costa Mar,Higueras,220738.17993628653
